author,comments,name,press,price,rank
迪卡米洛,132747条评论,国际大奖小说——爱德华的奇妙之旅（精装本）,新蕾出版社,¥18.00,209.
让娜·阿什比,71291条评论,0-3岁行为习惯教养绘本（全6册）,长江少年儿童出版社,¥50.40,210.
夏洛蒂勃朗特,114710条评论,简爱（浙大翻译家宋兆霖翻译，未删减全本。）九年级下册必读书目,作家出版社,¥14.00,211.
阿梅莉·卡斯唐,90011条评论,去旅行系列（全2册）法国教育部推荐！深度知识体系的人文地理百科,广西科学技术出版社,¥108.00,212.
史蒂芬·霍金,431731条评论,时间简史（插图本）（央视《朗读者》推荐）,湖南科技出版社,¥31.05,174.
曹文轩,233239条评论,曹文轩纯美小说：草房子,江苏凤凰少年儿童出版社,¥11.00,175.
乔安娜柯尔,335135条评论,神奇校车·动画版（全10册）,贵州人民出版社,¥59.00,197.
蔡崇达,589042条评论,皮囊（畅销250万册的国民读本，韩寒监制，刘德华、李敬泽作序。繁,天津人民出版社,¥21.80,11.
卡勒德·胡赛尼,2260114条评论,追风筝的人（2018年新版）,上海人民出版社,¥18.00,12.
陈果,53557条评论,懂你（复旦名师陈果作品！）,山东画报出版社,¥12.00,13.
刘瑜,42201条评论,愿你慢慢长大（与刘瑜、周国平、冯唐等名家一起开始一场温柔的教,北京联合出版有限公司,¥21.20,242.
J.K.罗琳,136297条评论,哈利·波特与魔法石（《语文》教材推荐阅读书目，外国儿童文学经,人民文学出版社,¥27.40,243.
林良,20877条评论,中国传统节日故事（全8册）,贵州人民出版社,¥84.00,244.
马良坤,20066条评论,怀孕一天一页（第二版）（汉竹）,江苏科学技术出版社,¥24.70,262.
多米蒂耶·德普雷桑塞,10495条评论,红帽子艾米莉（共24册） 法国经典畅销绘本，助孩子轻松解决成长问,辽宁少年儿童出版社,¥78.10,263.
英国快乐瓢虫出版公司,268056条评论,小猪佩奇（全10册）,安徽少年儿童出版社,¥60.00,222.
稻盛和夫,78360条评论,干法（团购，请致电010-57993380）,机械工业出版社,¥25.00,223.
本吉·戴维斯,73365条评论,小熊很忙系列（套装全16册）,中信出版社,¥295.00,224.
傅雷,76558条评论,傅雷家书(学生读本),译林出版社,¥24.10,225.
约翰范登,90764条评论,不可不知的科学,长江少年儿童出版社,¥24.00,142.
思睿,102261条评论,唐诗三百首 小学生 成长必读 绘本 注音版,北方妇女儿童出版社,¥22.00,143.
凯勒,123786条评论,假如给我三天光明（新课标，名家翻译，非改写&非编译本，海伦·凯,安徽教育出版社,¥13.30,213.
陈卫平,192735条评论,写给儿童的中国地理（全14册）,新世界出版社,¥196.00,214.
蔡康永,67139条评论,蔡康永的情商课：为你自己活一次（印章版）,湖南文艺出版社,¥31.50,53.
卡耐基,103861条评论,人性的弱点,北京联合出版公司,¥13.40,54.
美曼狄诺,63644条评论,羊皮卷大全集（畅销珍藏本）,黑龙江科学技术出版社,¥17.50,55.
艾伦·贝克尔,174514条评论,不可思议的旅程（凯迪克大奖绘本三部曲）,新星出版社,¥59.40,176.
冰波,47700条评论,蓝鲸的眼睛 曹文轩推荐儿童文学经典书系 15000多名读者热评！,北京教育出版社,¥12.90,177.
当年明月,169093条评论,明朝那些事儿全集 增补版（新版全套9册）,北京联合出版有限公司,¥178.20,178.
J.J.艾布拉姆斯,101299条评论,S.忒修斯之船（简体中文典藏复刻版）,中信出版社,¥100.80,179.
